cat_periodo,nomb_inst,cod_carrera,nomb_carrera,gen_alu,anio_ing_carr_act,dur_total_carr
2018,UNIVERSIDAD DE CONCEPCION,48.0,Ingeniería Civil Electrónica,Masculino,1982,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,53.0,Ingeniería Civil Química,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,53.0,Ingeniería Civil Química,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,51.0,Ingeniería Civil Mecánica,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,231.0,Ingeniería Civil de Materiales,Femenino,2011,11
2018,UNIVERSIDAD DE CONCEPCION,47.0,Ingeniería Civil Eléctrica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,242.0,Ingeniería Civil Biomédica,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,49.0,Ingeniería Civil Informática,Masculino,2006,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,45.0,Ingeniería Civil,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,49.0,Ingeniería Civil Informática,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,242.0,Ingeniería Civil Biomédica,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,53.0,Ingeniería Civil Química,Masculino,2008,12
2018,UNIVERSIDAD DE CONCEPCION,49.0,Ingeniería Civil Informática,Masculino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,47.0,Ingeniería Civil Eléctrica,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,45.0,Ingeniería Civil,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,51.0,Ingeniería Civil Mecánica,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,45.0,Ingeniería Civil,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,51.0,Ingeniería Civil Mecánica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,52.0,Ingeniería Civil Metalúrgica,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,45.0,Ingeniería Civil,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,47.0,Ingeniería Civil Eléctrica,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,242.0,Ingeniería Civil Biomédica,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,51.0,Ingeniería Civil Mecánica,Femenino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,49.0,Ingeniería Civil Informática,Masculino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,53.0,Ingeniería Civil Química,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,45.0,Ingeniería Civil,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,242.0,Ingeniería Civil Biomédica,Masculino,2010,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,49.0,Ingeniería Civil Informática,Femenino,2011,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2013,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Femenino,2012,12
2018,UNIVERSIDAD DE CONCEPCION,50.0,Ingeniería Civil Industrial,Masculino,2010,12
